id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5994,Shiba Inu,SHIB,shiba-inu,597,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589346914631298.1,589589040239379.6,False,,11,,,,2023-08-12T18:05:00.000Z,1.0762196924166399e-05,673499314.5979148,112.4123,-0.01713061,3.30197107,6.09926211,35.01007264,59.41853065,22.18470543,6342667551.911914,0.5402,6345273355.39,,2023-08-12T18:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-08-12 23:37:30.840123
3890,Polygon,MATIC,polygon,802,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,12,,,,2023-08-12T18:05:00.000Z,0.6789655267604527,155199327.59246993,-21.6668,-0.14636983,0.18770216,2.22999713,-20.24617762,6.59293518,-20.95771009,6327598225.754788,0.5388,6789655267.6,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
2,Litecoin,LTC,litecoin,968,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73533820.47743528,84000000.0,False,,13,,,,2023-08-12T18:05:00.000Z,83.56588665274882,189110247.55848473,-14.309,-0.1886292,0.67741522,1.20263898,-18.96758611,8.41979875,0.69304348,6144918907.160936,0.5233,7019534478.83,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
6636,Polkadot,DOT,polkadot-new,553,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1214987166.3223224,1344466043.6275022,True,,14,,,,2023-08-12T18:05:00.000Z,5.021449513818034,62319005.75205503,-14.8505,-0.29918096,0.97214901,1.44300662,-7.90652509,9.62226668,-6.49105626,6100996715.624376,0.5195,6751168361.12,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
4943,Dai,DAI,multi-collateral-dai,2494,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5327405622.235241,5327405622.235241,True,,15,,,,2023-08-12T18:05:00.000Z,0.9997046582881076,64697992.54199617,-22.3817,0.01867107,0.03848048,-0.00066663,-0.13220902,-0.00560536,0.01866331,5325832217.138824,0.4535,5325832217.14,,2023-08-12T18:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-08-12 23:37:30.840123
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1315,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem']",,162305.31768531,162305.31768531,False,,16,,,,2023-08-12T18:05:00.000Z,29431.855144404006,79691650.05234975,-32.2415,-0.07299001,0.35964613,1.41804387,-5.4014722,13.87624782,9.20708358,4776946599.280518,0.4068,4776946599.28,,2023-08-12T18:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-08-12 23:37:30.840123
11419,Toncoin,TON,toncoin,125,2021-08-26T13:40:22.000Z,['pos'],,3431892087.62,5047558528.0,True,,17,3414166606.0,4570314529.649485,,2023-08-12T18:05:00.000Z,1.338632544064396,27339116.57664863,18.1627,0.49820418,5.61835183,12.62307411,-1.03468702,-11.53232872,-31.98855373,4594042436.205232,0.3912,6756826113.65,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
1831,Bitcoin Cash,BCH,bitcoin-cash,748,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19474350.0,19474350.0,False,,18,,,,2023-08-12T18:05:00.000Z,227.75839127336687,111804288.05107954,-45.0823,-0.42823131,-0.29076429,0.69723955,-19.3523875,115.79619763,98.39018706,4435446627.094492,0.3777,4782926216.74,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
5805,Avalanche,AVAX,avalanche,481,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'layer-1']",720000000.0,343824363.3258865,430543813.3258865,False,,19,,,,2023-08-12T18:05:00.000Z,12.43436114237904,67167346.31015924,-18.8876,-0.21948532,0.28438406,0.84902082,-11.49456114,6.29109866,-17.10915726,4275236303.142616,0.3641,8952740022.51,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
1975,Chainlink,LINK,chainlink,1289,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'celsius-bankruptcy-estate']",1000000000.0,538099970.4527867,1000000000.0,False,,20,,,,2023-08-12T18:05:00.000Z,7.416643953255749,112380658.0332499,-21.8872,-0.42738601,-0.18167564,3.58167211,9.78675324,42.18145831,13.20294413,3990895892.105757,0.3399,7416643953.26,,2023-08-12T18:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2023-08-12 23:37:30.840123
