Title,Price,Rating,Date
Apple iPhone 14 (256 GB) - Yellow,"78,999
                                 
                                  .",4.5 out of 5 stars,2023-08-07
Apple iPhone 14 (256 GB) - Yellow,"78,999
                                 
                                  .",4.5 out of 5 stars,2023-08-07
